"Start.station.number","End.station.number","freq","start.lat","start.lon","end.lat","end.lon"
31001,31080,1,38.85725,-77.05332,38.897612,-77.080851
31001,31081,14,38.85725,-77.05332,38.804378,-77.060866
31001,31083,6,38.85725,-77.05332,38.82175,-77.047494
31001,31084,1,38.85725,-77.05332,38.802677,-77.063562
31001,31085,12,38.85725,-77.05332,38.820064,-77.057619
31001,31086,13,38.85725,-77.05332,38.82595,-77.058541
31001,31087,17,38.85725,-77.05332,38.820932,-77.053096
31001,31088,116,38.85725,-77.05332,38.833077,-77.059821
31001,31089,1,38.85725,-77.05332,38.890612,-77.084801
31001,31090,10,38.85725,-77.05332,38.864702,-77.048672
31001,31091,159,38.85725,-77.05332,38.859254,-77.063275
31001,31095,1,38.85725,-77.05332,38.862756,-77.067185
31001,31097,2,38.85725,-77.05332,38.812718,-77.044097
31001,31098,2,38.85725,-77.05332,38.80704,-77.059817
31001,31099,1,38.85725,-77.05332,38.813485,-77.049468
31001,31108,1,38.85725,-77.05332,38.8767,-77.0178
31001,31109,1,38.85725,-77.05332,38.9155,-77.0222
31001,31121,2,38.85725,-77.05332,38.923583,-77.050046
31001,31204,1,38.85725,-77.05332,38.8963,-77.045
31001,31205,2,38.85725,-77.05332,38.9008,-77.047
31001,31208,3,38.85725,-77.05332,38.8763,-77.0037
31001,31211,4,38.85725,-77.05332,38.897293,-77.05557
31001,31215,14,38.85725,-77.05332,38.902221,-77.059219
31001,31217,11,38.85725,-77.05332,38.887237,-77.02823
31001,31218,12,38.85725,-77.05332,38.886266,-77.022241
31001,31219,1,38.85725,-77.05332,38.893028,-77.026013
31001,31220,1,38.85725,-77.05332,38.894919,-77.046587
31001,31222,2,38.85725,-77.05332,38.8991,-77.0337
31001,31223,1,38.85725,-77.05332,38.905737,-77.02227
31001,31225,17,38.85725,-77.05332,38.90375,-77.06269
31001,31227,3,38.85725,-77.05332,38.900283,-77.029822
31001,31228,1,38.85725,-77.05332,38.8997,-77.023086
31001,31229,1,38.85725,-77.05332,38.91554,-77.03818
31001,31230,2,38.85725,-77.05332,38.898364,-77.027869
31001,31235,1,38.85725,-77.05332,38.8923,-77.0436
31001,31236,22,38.85725,-77.05332,38.90774,-77.071652
31001,31237,1,38.85725,-77.05332,38.903827,-77.053485
31001,31238,4,38.85725,-77.05332,38.898069,-77.031823
31001,31240,1,38.85725,-77.05332,38.88412,-77.04657
31001,31241,1,38.85725,-77.05332,38.9059,-77.0325
31001,31242,11,38.85725,-77.05332,38.89968,-77.041539
31001,31243,2,38.85725,-77.05332,38.887299,-77.018939
31001,31244,2,38.85725,-77.05332,38.88412,-77.017445
31001,31246,2,38.85725,-77.05332,38.905126,-77.056887
31001,31247,59,38.85725,-77.05332,38.888553,-77.032429
31001,31248,28,38.85725,-77.05332,38.888767,-77.02858
31001,31249,178,38.85725,-77.05332,38.879819,-77.037413
31001,31254,1,38.85725,-77.05332,38.902,-77.03353
31001,31256,1,38.85725,-77.05332,38.895914,-77.026064
31001,31257,8,38.85725,-77.05332,38.90088,-77.048911
31001,31258,35,38.85725,-77.05332,38.888251,-77.049426
31001,31259,1,38.85725,-77.05332,38.894722,-77.045128
31001,31260,16,38.85725,-77.05332,38.896104,-77.049882
31001,31262,1,38.85725,-77.05332,38.897857,-77.026975
31001,31263,3,38.85725,-77.05332,38.9024,-77.02622
31001,31269,2,38.85725,-77.05332,38.887378,-77.001955
31001,31270,3,38.85725,-77.05332,38.894851,-77.02324
31001,31271,3,38.85725,-77.05332,38.892275,-77.013917
31001,31272,1,38.85725,-77.05332,38.886978,-77.013769
31001,31274,4,38.85725,-77.05332,38.898243,-77.026235
31001,31275,3,38.85725,-77.05332,38.901755,-77.051084
31001,31277,5,38.85725,-77.05332,38.89841,-77.039624
31001,31281,1,38.85725,-77.05332,38.90864,-77.02277
31001,31283,1,38.85725,-77.05332,38.903658,-77.031737
31001,31288,3,38.85725,-77.05332,38.890493,-77.017253
31001,31289,7,38.85725,-77.05332,38.890544,-77.049379
31001,31290,4,38.85725,-77.05332,38.888097,-77.038325
31001,31301,1,38.85725,-77.05332,38.938736,-77.087171
31001,31312,7,38.85725,-77.05332,38.90849,-77.063586
31001,31314,2,38.85725,-77.05332,38.903663,-77.067668
31001,31608,1,38.85725,-77.05332,38.8792,-76.9953
31001,31610,1,38.85725,-77.05332,38.886952,-76.996806
31001,31613,1,38.85725,-77.05332,38.884,-76.995397
31001,31615,1,38.85725,-77.05332,38.899972,-76.998347
31001,31616,1,38.85725,-77.05332,38.900412,-77.001949
31001,31623,1,38.85725,-77.05332,38.89696,-77.00493
31001,31633,10,38.85725,-77.05332,38.887312,-77.025762
31001,31906,1,38.85725,-77.05332,38.812711,-77.061715
31001,31908,3,38.85725,-77.05332,38.828437,-77.086031
31001,31909,23,38.85725,-77.05332,38.843422,-77.064016
31001,31912,19,38.85725,-77.05332,38.841291,-77.063093
31001,31913,3,38.85725,-77.05332,38.820058,-77.062821
31001,31916,17,38.85725,-77.05332,38.829545,-77.047844
31001,31918,4,38.85725,-77.05332,38.812351,-77.040691
31002,31000,46,38.856425,-77.049232,38.858971,-77.05323
31002,31001,35,38.856425,-77.049232,38.85725,-77.05332
