"Start.station.number","starthour","variable","value"
31025,8,"inflow",56
31025,9,"inflow",55
31025,10,"inflow",108
31025,11,"inflow",114
31025,12,"inflow",155
31025,13,"inflow",162
31025,14,"inflow",159
31025,15,"inflow",188
31025,16,"inflow",278
31025,17,"inflow",363
31025,18,"inflow",409
31025,19,"inflow",223
31025,20,"inflow",159
31025,21,"inflow",98
31025,22,"inflow",72
31025,23,"inflow",50
31026,0,"inflow",13
31026,1,"inflow",3
31026,2,"inflow",3
31026,3,"inflow",1
31026,4,"inflow",1
31026,5,"inflow",29
31026,6,"inflow",127
31026,7,"inflow",105
31026,8,"inflow",173
31026,9,"inflow",134
31026,10,"inflow",103
31026,11,"inflow",99
31026,12,"inflow",127
31026,13,"inflow",151
31026,14,"inflow",110
31026,15,"inflow",121
31026,16,"inflow",204
31026,17,"inflow",247
31026,18,"inflow",262
31026,19,"inflow",185
31026,20,"inflow",109
31026,21,"inflow",65
31026,22,"inflow",31
31026,23,"inflow",20
31027,0,"inflow",41
31027,1,"inflow",9
31027,2,"inflow",18
31027,3,"inflow",11
31027,4,"inflow",3
31027,5,"inflow",4
31027,6,"inflow",21
31027,7,"inflow",66
31027,8,"inflow",123
31027,9,"inflow",97
31027,10,"inflow",140
31027,11,"inflow",72
31027,12,"inflow",93
31027,13,"inflow",105
31027,14,"inflow",112
31027,15,"inflow",127
31027,16,"inflow",130
31027,17,"inflow",247
31027,18,"inflow",229
31027,19,"inflow",168
31027,20,"inflow",150
31027,21,"inflow",72
31027,22,"inflow",90
31027,23,"inflow",48
31028,0,"inflow",8
31028,1,"inflow",18
31028,2,"inflow",4
31028,3,"inflow",NA
31028,4,"inflow",NA
31028,5,"inflow",13
31028,6,"inflow",43
31028,7,"inflow",248
31028,8,"inflow",188
31028,9,"inflow",156
31028,10,"inflow",91
31028,11,"inflow",53
31028,12,"inflow",58
31028,13,"inflow",44
31028,14,"inflow",49
31028,15,"inflow",71
31028,16,"inflow",78
31028,17,"inflow",235
31028,18,"inflow",120
31028,19,"inflow",67
31028,20,"inflow",54
31028,21,"inflow",31
31028,22,"inflow",28
31028,23,"inflow",18
31029,0,"inflow",29
31029,1,"inflow",23
31029,2,"inflow",13
31029,3,"inflow",8
31029,4,"inflow",4
31029,5,"inflow",4
31029,6,"inflow",8
31029,7,"inflow",29
31029,8,"inflow",31
31029,9,"inflow",57
31029,10,"inflow",64
31029,11,"inflow",118
31029,12,"inflow",251
31029,13,"inflow",185
31029,14,"inflow",156
31029,15,"inflow",187
31029,16,"inflow",271
31029,17,"inflow",538
31029,18,"inflow",575
31029,19,"inflow",423
31029,20,"inflow",230
31029,21,"inflow",149
31029,22,"inflow",70
31029,23,"inflow",40
31030,0,"inflow",84
31030,1,"inflow",65
31030,2,"inflow",29
31030,4,"inflow",5
31030,5,"inflow",4
31030,6,"inflow",33
31030,7,"inflow",10
31030,8,"inflow",26
31030,9,"inflow",48
31030,10,"inflow",59
31030,11,"inflow",74
31030,12,"inflow",92
31030,13,"inflow",90
31030,14,"inflow",105
