"","Start.station.number","starthour","freq.x","freq.y"
"408",31017,7,196,-244
"409",31017,8,260,-669
"410",31017,9,198,-310
"411",31017,10,175,-135
"412",31017,11,253,-146
"413",31017,12,297,-175
"414",31017,13,317,-108
"415",31017,14,246,-98
"416",31017,15,234,-93
"417",31017,16,475,-122
"418",31017,17,888,-238
"419",31017,18,702,-222
"420",31017,19,414,-162
"421",31017,20,309,-106
"422",31017,21,236,-92
"423",31017,22,153,-68
"424",31017,23,84,-48
"425",31018,0,15,-22
"426",31018,1,1,-10
"427",31018,2,2,-7
"428",31018,3,2,NA
"429",31018,5,30,-3
"430",31018,6,80,-16
"431",31018,7,401,-29
"432",31018,8,360,-88
"433",31018,9,147,-126
"434",31018,10,142,-49
"435",31018,11,159,-94
"436",31018,12,173,-90
"437",31018,13,141,-92
"438",31018,14,107,-85
"439",31018,15,110,-119
"440",31018,16,115,-147
"441",31018,17,163,-268
"442",31018,18,178,-270
"443",31018,19,94,-207
"444",31018,20,78,-134
"445",31018,21,42,-67
"446",31018,22,49,-42
"447",31018,23,34,-21
"448",31019,0,46,-8
"449",31019,1,32,-8
"450",31019,2,20,-2
"451",31019,3,8,NA
"452",31019,5,8,-1
"453",31019,6,20,-7
"454",31019,7,161,-43
"455",31019,8,153,-78
"456",31019,9,68,-112
"457",31019,10,81,-151
"458",31019,11,117,-136
"459",31019,12,177,-170
"460",31019,13,196,-153
"461",31019,14,167,-148
"462",31019,15,147,-149
"463",31019,16,270,-189
"464",31019,17,331,-327
"465",31019,18,407,-309
"466",31019,19,282,-211
"467",31019,20,285,-152
"468",31019,21,166,-87
"469",31019,22,103,-43
"470",31019,23,54,-19
"471",31020,0,54,-28
"472",31020,1,42,-13
"473",31020,2,24,-8
"474",31020,3,11,-4
"475",31020,4,4,-2
"476",31020,5,5,-2
"477",31020,6,96,-9
"478",31020,7,84,-230
"479",31020,8,228,-139
"480",31020,9,148,-158
"481",31020,10,126,-157
"482",31020,11,216,-122
"483",31020,12,307,-128
"484",31020,13,205,-202
"485",31020,14,173,-125
"486",31020,15,194,-121
"487",31020,16,421,-148
"488",31020,17,470,-241
"489",31020,18,379,-227
"490",31020,19,259,-191
"491",31020,20,210,-107
"492",31020,21,127,-63
"493",31020,22,70,-25
"494",31020,23,46,-34
"495",31021,0,35,-4
"496",31021,1,48,-7
"497",31021,2,8,-1
"498",31021,3,3,-4
"499",31021,4,3,-3
"500",31021,5,3,-37
"501",31021,6,71,-56
"502",31021,7,226,-114
"503",31021,8,290,-120
"504",31021,9,175,-83
"505",31021,10,150,-128
"506",31021,11,193,-188
"507",31021,12,273,-196
"508",31021,13,253,-201
"509",31021,14,227,-151
"510",31021,15,218,-176
"511",31021,16,275,-215
"512",31021,17,508,-343
"513",31021,18,461,-343
"514",31021,19,379,-257
"515",31021,20,290,-168
"516",31021,21,196,-66
"517",31021,22,122,-24
"518",31021,23,45,-17
"519",31022,0,66,-21
"520",31022,1,88,-19
"521",31022,2,34,-5
"522",31022,3,8,-3
"523",31022,4,3,NA
"524",31022,5,51,-2
"525",31022,6,55,-90
"526",31022,7,359,-152
"527",31022,8,456,-615
"528",31022,9,286,-245
"529",31022,10,196,-194
"530",31022,11,285,-269
"531",31022,12,391,-301
"532",31022,13,316,-313
"533",31022,14,276,-265
"534",31022,15,309,-227
"535",31022,16,546,-316
"536",31022,17,867,-482
"537",31022,18,675,-482
"538",31022,19,533,-385
"539",31022,20,397,-234
"540",31022,21,292,-130
"541",31022,22,193,-62
"542",31022,23,96,-35
"543",31023,0,55,-21
"544",31023,1,56,-15
"545",31023,2,18,-4
"546",31023,3,1,-2
"547",31023,4,3,-5
"548",31023,5,4,-4
"549",31023,6,25,-34
"550",31023,7,240,-80
"551",31023,8,435,-144
"552",31023,9,220,-186
"553",31023,10,147,-138
"554",31023,11,174,-200
"555",31023,12,181,-182
"556",31023,13,217,-188
"557",31023,14,196,-195
"558",31023,15,158,-212
"559",31023,16,211,-290
"560",31023,17,329,-547
"561",31023,18,409,-442
"562",31023,19,331,-314
"563",31023,20,234,-160
"564",31023,21,163,-99
"565",31023,22,130,-70
"566",31023,23,101,-61
"567",31024,0,30,-18
"568",31024,1,14,-24
"569",31024,2,6,-5
"570",31024,3,4,-3
"571",31024,4,16,-8
"572",31024,5,49,-14
"573",31024,6,174,-123
"574",31024,7,233,-564
"575",31024,8,501,-797
"576",31024,9,518,-629
"577",31024,10,305,-296
"578",31024,11,275,-224
"579",31024,12,255,-286
"580",31024,13,304,-235
"581",31024,14,217,-238
"582",31024,15,352,-195
"583",31024,16,438,-303
"584",31024,17,842,-623
"585",31024,18,990,-485
"586",31024,19,413,-239
"587",31024,20,229,-190
"588",31024,21,223,-124
"589",31024,22,161,-81
"590",31024,23,120,-53
"591",31025,0,5,-18
"592",31025,1,3,-5
"593",31025,2,1,-4
"594",31025,4,1,-5
"595",31025,5,1,-18
"596",31025,6,69,-30
"597",31025,7,396,-56
"598",31025,8,261,-56
"599",31025,9,194,-55
"600",31025,10,166,-108
"601",31025,11,124,-114
"602",31025,12,178,-155
"603",31025,13,139,-162
"604",31025,14,158,-159
"605",31025,15,191,-188
"606",31025,16,210,-278
"607",31025,17,226,-363
"608",31025,18,281,-409
"609",31025,19,177,-223
"610",31025,20,195,-159
"611",31025,21,108,-98
"612",31025,22,53,-72
"613",31025,23,21,-50
"614",31026,0,39,-13
"615",31026,1,39,-3
"616",31026,2,23,-3
"617",31026,3,2,-1
"618",31026,4,2,-1
"619",31026,5,20,-29
"620",31026,6,39,-127
"621",31026,7,203,-105
"622",31026,8,244,-173
"623",31026,9,152,-134
"624",31026,10,120,-103
"625",31026,11,156,-99
"626",31026,12,159,-127
"627",31026,13,189,-151
"628",31026,14,142,-110
"629",31026,15,149,-121
"630",31026,16,270,-204
"631",31026,17,393,-247
"632",31026,18,381,-262
"633",31026,19,224,-185
"634",31026,20,160,-109
"635",31026,21,146,-65
"636",31026,22,122,-31
"637",31026,23,70,-20
"638",31027,0,10,-41
"639",31027,1,6,-9
"640",31027,2,1,-18
"641",31027,3,6,-11
"642",31027,4,2,-3
"643",31027,5,29,-4
"644",31027,6,41,-21
"645",31027,7,249,-66
"646",31027,8,372,-123
"647",31027,9,394,-97
"648",31027,10,138,-140
"649",31027,11,138,-72
"650",31027,12,151,-93
"651",31027,13,155,-105
"652",31027,14,131,-112
"653",31027,15,162,-127
"654",31027,16,140,-130
"655",31027,17,233,-247
"656",31027,18,211,-229
"657",31027,19,185,-168
"658",31027,20,92,-150
"659",31027,21,72,-72
"660",31027,22,45,-90
"661",31027,23,24,-48
"662",31028,0,9,-8
"663",31028,1,8,-18
"664",31028,2,1,-4
"665",31028,3,1,NA
"666",31028,4,18,NA
"667",31028,5,19,-13
"668",31028,6,53,-43
"669",31028,7,52,-248
"670",31028,8,248,-188
"671",31028,9,177,-156
"672",31028,10,116,-91
"673",31028,11,110,-53
"674",31028,12,109,-58
"675",31028,13,92,-44
"676",31028,14,97,-49
"677",31028,15,107,-71
"678",31028,16,179,-78
"679",31028,17,589,-235
"680",31028,18,348,-120
"681",31028,19,220,-67
"682",31028,20,98,-54
"683",31028,21,81,-31
"684",31028,22,82,-28
"685",31028,23,21,-18
"686",31029,0,10,-29
"687",31029,1,4,-23
"688",31029,2,5,-13
"689",31029,3,2,-8
"690",31029,4,5,-4
"691",31029,5,12,-4
"692",31029,6,85,-8
"693",31029,7,452,-29
"694",31029,8,1012,-31
"695",31029,9,373,-57
"696",31029,10,238,-64
"697",31029,11,188,-118
"698",31029,12,226,-251
"699",31029,13,244,-185
"700",31029,14,199,-156
"701",31029,15,142,-187
"702",31029,16,203,-271
"703",31029,17,244,-538
"704",31029,18,325,-575
"705",31029,19,214,-423
"706",31029,20,100,-230
"707",31029,21,44,-149
"708",31029,22,24,-70
"709",31029,23,17,-40
"710",31030,0,26,-84
"711",31030,1,5,-65
"712",31030,2,4,-29
"713",31030,4,10,-5
"714",31030,5,70,-4
"715",31030,6,233,-33
"716",31030,7,401,-10
"717",31030,8,929,-26
"718",31030,9,508,-48
"719",31030,10,214,-59
"720",31030,11,199,-74
"721",31030,12,229,-92
"722",31030,13,173,-90
"723",31030,14,233,-105
"724",31030,15,145,-115
"725",31030,16,182,-166
"726",31030,17,258,-362
"727",31030,18,259,-352
"728",31030,19,203,-259
"729",31030,20,106,-259
"730",31030,21,75,-230
"731",31030,22,68,-210
"732",31030,23,47,-75
"733",31031,0,14,-42
"734",31031,1,8,-29
"735",31031,2,2,-9
"736",31031,3,3,-7
"737",31031,4,20,-1
"738",31031,5,63,-3
"739",31031,6,177,-5
"740",31031,7,308,-18
"741",31031,8,480,-38
"742",31031,9,187,-53
"743",31031,10,248,-66
"744",31031,11,232,-95
"745",31031,12,220,-107
"746",31031,13,150,-100
"747",31031,14,171,-112
"748",31031,15,134,-130
"749",31031,16,169,-202
"750",31031,17,326,-410
"751",31031,18,377,-478
"752",31031,19,183,-263
"753",31031,20,128,-184
"754",31031,21,80,-147
"755",31031,22,38,-110
"756",31031,23,20,-61
"757",31032,0,2,-6
"758",31032,2,1,NA
"759",31032,3,2,NA
"760",31032,4,3,NA
"761",31032,5,12,NA
"762",31032,6,38,-3
"763",31032,7,125,-12
"764",31032,8,277,-13
"765",31032,9,131,-15
"766",31032,10,59,-23
"767",31032,11,39,-28
"768",31032,12,51,-112
"769",31032,13,91,-44
"770",31032,14,31,-30
"771",31032,15,31,-49
"772",31032,16,53,-72
"773",31032,17,62,-149
"774",31032,18,71,-159
"775",31032,19,55,-93
"776",31032,20,49,-52
"777",31032,21,20,-30
"778",31032,22,7,-24
"779",31032,23,5,-17
"780",31033,0,22,-18
"781",31033,1,12,-7
"782",31033,2,12,-8
"783",31033,3,6,-2
